,date,time,id,followers,tweet,sentiment
0,20210410,23:45:42,1381030662631645187,32,"RT @0xRafi: 1/ $ALCX @AlchemixFi (https://t.co/IP0OlMtQ0F)
This one most of you already know, but their product is so unique and there’s so…",1
1,20210410,23:25:04,1381025469974331397,2126,@Evan_ss6 Agree -- that's where most of the risk built up in the system lies. Incentivizing that pool via ALCX emis… https://t.co/AZ5HhwSWMi,1
2,20210410,23:11:10,1381021970490220544,591,RT @dtohrofl: Can someone talk me out of putting my life savings into $ALCX and pooling it with $ETH @scupytrooples,0
3,20210410,22:59:41,1381019079180386304,784,"RT @Pillarsgraphics: $DRC is competing with none, $DRC it's an innovative token, indivisible, SOV, community driven and fully decentralized…",1
4,20210410,22:58:32,1381018790943686656,179,"RT @0xGav: The $ALCX Pool on $SUSHI is now $300m deep of liquidity. Yields are still good at 360% apy.

Alameda have been taking a more agg…",1
5,20210410,22:53:32,1381017533126483971,627,"RT @Pillarsgraphics: $DRC is competing with none, $DRC it's an innovative token, indivisible, SOV, community driven and fully decentralized…",1
6,20210410,22:30:37,1381011767355088896,8861,"@setanimals TRIBE &gt; ALCX by almost 2x...

I think we need to realise that mcap is only a small factor for comparati… https://t.co/DUZ4vTfuKT",-1
7,20210410,22:24:08,1381010135007559683,27,@MarkBeylin @antiprosynth @AlchemixFi So what if inevitably when yields go down(more $ in the space) -- how will AL… https://t.co/iUdK4HsyvL,1
8,20210410,22:20:55,1381009322956701697,955,"🟢 Swapped $219K in $ETH for $ALCX on #Sushiswap 🍣

🐟 ($20.4K) #0x56768B
https://t.co/3pR416vppx",0
9,20210410,22:08:31,1381006205217337344,955,"🟢 Swapped $189K in $ETH for $ALCX on #1inch 🐉

🐟 ($384K) #0x86F032
https://t.co/IobWksvdwT",0
10,20210410,21:33:36,1380997416757784578,80,"@SalsaTekila collateralize assets on alcx, take out future yield and pay rent kek",0
11,20210410,21:32:30,1380997139753529345,242,"RT @klebiodamas: eu sóbrio: ninguém pode saber disso

eu bêbado: GENTE VOCÊS SABIAM QUE UMA VEZ...",0
12,20210410,21:25:11,1380995299263537157,261,@RyanSAdams $alcx,0
13,20210410,21:15:52,1380992954605666311,242,RT @vaalmarins: * vontade de lançar uns piercings * pra ficar feliz.,0
14,20210410,21:15:07,1380992764633055232,242,já imagino eles andando cheios de pintinhos aqui no quintal 😭😭❤️✨✨😍🤩✨🥰,0
15,20210410,21:13:33,1380992373044432896,242,agora eu quero um galinho garnizé p ser marido da dona galinha,0
16,20210410,20:57:02,1380988215910354958,34,"@QuirkyQwerty_ @egirl_capital @CL207 @mrjasonchoi @cmsholdings Good thread, question how/why are yields boosted in alcx ?",1
17,20210410,20:56:55,1380988183433871361,761,"RT @sobylife: just bought my first car with an $alcx loan, AMA 

h/t @scupytrooples https://t.co/Xuuk284aK0",1
18,20210410,20:33:16,1380982233951952899,79,Great thread on $alcx https://t.co/DzNztUjtLt,1
19,20210410,20:28:53,1380981131680509953,468,"@Cryptoyieldinfo @choesangkyun @33JIAN @BanditXBT would you consider ALCX a safe LP?

Yes I’m a pleb...",1
